id_recette,Recette,Type_Repas,Ingredient,Etape
1,Croissant,Petit_Dej,"Pâte
10 ml (2 c. à thé) de levure instantanée

125 ml (1/2 tasse) d’eau, tiède

75 ml (1/3 tasse) de lait, tiède

400 g (2 2/3 tasses) de farine tout usage non blanchie

55 g (1/4 tasse) de sucre

5 ml (1 c. à thé) de sel

1 jaune d’œuf

40 g (3 c. à soupe) de beurre non salé, fondu

Beurrage
225 g (1/2 lb) de beurre non salé, froid et coupé en 12 cubes

Dorure
1 jaune d’œuf

30 ml (2 c. à soupe) de crème 35 % ou de lait

2,5 ml (1/2 c. à thé) de sucre","Pâte
Dans un bol, diluer la levure dans l’eau et le lait.

Dans un batteur sur socle muni du crochet à pétrir, mélanger la farine, le sucre et le sel. Ajouter le mélange de levure, le jaune d’œuf et le beurre fondu. Pétrir la pâte 3 minutes ou jusqu’à ce qu’elle soit lisse et élastique. Former une boule. Mettre dans un bol et couvrir de pellicule plastique. Laisser lever la pâte 1 heure dans un endroit tiède et humide ou jusqu’à ce qu’elle double de volume (voir note).

Beurrage
Entre-temps, placer les cubes de beurre côte à côte au centre d’un sac à fermeture hermétique carré de 18 cm (7 po) sans le refermer. À l’aide d’un rouleau à pâtisserie, tapoter le beurre uniformément pour le détendre. L’abaisser par la suite afin qu’il prenne la dimension du sac et qu’il ait une épaisseur de 1 cm (1/2 po). Refermer le sac. Placer à plat au réfrigérateur jusqu’à l’étape 6.

Sur un plan de travail légèrement fariné, replier la pâte sur elle-même à trois reprises. Placer la pâte dans un autre sac à fermeture hermétique carré de 27 cm (10 1/2 po), sans le refermer. À l’aide d’un rouleau à pâtisserie, abaisser la pâte afin qu’elle prenne la dimension du sac. Refermer le sac. Placer à plat au réfrigérateur 30 minutes.

Retirer la pâte du sac et la déposer sur un plan de travail légèrement fariné.

Retirer le beurre du sac et le placer en plein centre de la pâte de façon à ce qu’il forme un losange à l’intérieur du carré de pâte. Replier la pâte sur le beurre en rabattant les quatre pointes vers le centre, comme une enveloppe, pour couvrir entièrement le beurre. Il est important de sceller la pâte pour empêcher le beurre de sortir lors du pliage.

Pliage
Abaisser la pâte en un rectangle de 56 x 23 cm (22 x 9 po). Couper légèrement les côtés pour l’égaliser. À l’aide d’un pinceau, retirer l’excédent de farine. Rabattre les extrémités de la pâte en les rejoignant au centre, puis replier en deux afin d’obtenir un rectangle 23 x 11,5 cm (9 x 4 1/2 po). Envelopper de pellicule plastique et réfrigérer 30 minutes. Répéter cette étape une deuxième fois. Congeler à cette étape, si désiré.

Façonnage
Sur un plan de travail légèrement fariné, abaisser à nouveau la pâte en un rectangle de 56 x 23 cm (22 x 9 po). Couper légèrement les côtés pour l’égaliser. À l’aide d’un pinceau, retirer l’excédent de farine. Couper la pâte en 4 rectangles égaux de 23 x 14 cm (9 x 5 1/2 po). Couper chaque rectangle en 2 longs triangles.

Faire une incision d’environ 2,5 cm (1 po) perpendiculaire au centre du côté le plus court de chaque triangle. À partir de ce côté, rouler chaque triangle sur lui-même jusqu’au bout de la pointe avec la paume de la main, de façon à créer le plus d’étages possible pour plus de feuilletage. Replier légèrement vers l’intérieur les cornes du croissant, si désiré. Déposer les croissants sur une plaque tapissée d’un tapis de silicone ou de papier parchemin en les espaçant. Congeler à cette étape, si désiré. Placer la plaque dans un endroit tiède et humide, sans couvrir, 1 h 15 ou jusqu’à ce que les croissants aient doublé de volume.

Placer la grille au centre du four. Préchauffer le four à 180 °C (350 °F).

Dorure
Dans un petit bol, mélanger à la fourchette tous les ingrédients. À l’aide d’un pinceau, badigeonner délicatement et complètement la pâte de dorure.

Cuire au four de 25 à 30 minutes ou jusqu’à ce que les croissants soient bien dorés. Laisser refroidir sur une grille."
2,Spahgetti Bolognaise,Dej_Diner,"Ingrédients
1 oignon, coupé en morceaux

1 branche de céleri, coupée en morceaux

2 carottes, coupées en morceaux

2 gousses d’ail, coupées en morceaux

115 g (4 oz) de pancetta douce, coupée en petits morceaux

30 g (1 oz) de mortadelle, coupée en petits morceaux

30 ml (2 c. à soupe) de beurre

450 g (1 lb) de bœuf haché mi-maigre

225 g (½ lb) de veau haché maigre

225 g (½ lb) de porc haché maigre

125 ml (½ tasse) de vin rouge

75 ml (1/3 tasse) de pâte de tomates

500 ml (2 tasses) de bouillon de poulet

2 feuilles de laurier

10 ml (2 c. à thé) d’herbes fraîches ciselées (sauge, marjolaine ou thym)

1 pincée de flocons de piment broyé

125 ml (½ tasse) de lait","Préparation
Au robot culinaire, hacher finement les légumes. Réserver dans une assiette.

Au robot culinaire, hacher finement la pancetta et la mortadelle. Réserver.

Dans une casserole à feu élevé, attendrir les légumes dans le beurre 5 minutes. Saler et poivrer. Ajouter la pancetta, la mortadelle et les viandes hachées. Cuire la viande en l’émiettant à l’aide d’une cuillère de bois et en mélangeant à quelques reprises jusqu’à ce que le liquide soit évaporé et que la viande soit bien dorée.

Déglacer avec le vin et laisser réduire presqu'à sec. Incorporer la pâte de tomates et cuire 1 minute. Ajouter le bouillon, le laurier, les herbes et le piment. Couvrir et laisser mijoter à feu moyen-doux 1 heure en remuant à quelques reprises.

Ajouter le lait et poursuivre la cuisson 30 minutes, à découvert, en mélangeant à quelques reprises. Rectifier l’assaisonnement."
3,Tiramisu,Dessert,"Ingrédients
250 ml (1 tasse) de sucre

180 ml (¾ tasse) d’espresso ou de café corsé, chaud

60 ml (¼ tasse) de lait

30 ml (2 c. à soupe) de liqueur de café (Tia Maria ou autre)

5 jaunes d’oeufs

2,5 ml (½ c. à thé) d’extrait de vanille

475 à 500 g (17 à 18 oz) de fromage mascarpone, tempéré

375 ml (1 ½ tasse) de crème 35 %

30 biscuits doigts de dame (voir note)

30 ml (2 c. à soupe) de cacao, tamisé","Préparation
Dans un petit bol, mélanger 30 ml (2 c. à soupe) de sucre et le café. Ajouter le lait et la liqueur de café. Réserver au froid.

Dans la partie supérieure d’un bain-marie, hors du feu, fouetter les jaunes d’oeufs, la vanille et 60 ml (¼ tasse) de sucre. Déposer la partie supérieure au-dessus de l’eau frémissante et fouetter sans arrêt jusqu’à l’obtention d’un ruban, soit environ 5 minutes. Retirer la partie supérieure du bain-marie et continuer de fouetter au batteur électrique jusqu’à ce que la préparation soit tout juste tiède. Incorporer le mascarpone. Réserver.

Dans un autre bol, fouetter la crème et le reste du sucre (150 ml/ 2/3 tasse) jusqu’à ce qu’elle forme des pics fermes. À l’aide d’une spatule, incorporer délicatement au mélange de fromage.

Dans un plat rectangulaire d’environ 28 x 20 cm (11 x 8 po) et d’une contenance de 2,5 litres (10 tasses), couvrir le fond du moule de biscuits trempés dans le café, environ 2 à 3 secondes chacun. Casser les biscuits au besoin. Couvrir de la moitié de la garniture au mascarpone. Saupoudrer la moitié du cacao. Répéter avec le reste des ingrédients et terminer avec le cacao. Couvrir de pellicule plastique et réfrigérer au moins 4 heures ou préférablement toute une nuit."
4,Petit-déjeuner Américain,Dej_Diner,"Œufs
Bacon
Pommes de terre
Pain
Fruits frais (au choix)
Café ou jus d'orange","Faire cuire le bacon dans une poêle jusqu'à ce qu'il soit croustillant. Retirer et égoutter sur du papier absorbant.
Dans la même poêle, faire cuire les pommes de terre rissolées jusqu'à ce qu'elles soient dorées et croustillantes. Réserver.
Dans un bol, battre les œufs et les assaisonner avec du sel et du poivre.
Faire chauffer une autre poêle antiadhésive et y verser les œufs battus. Cuire les œufs en remuant jusqu'à ce qu'ils soient brouillés.
Pendant ce temps, faire griller le pain.
Servir les œufs brouillés, le bacon croustillant, les pommes de terre rissolées et le pain grillé sur une assiette. Ajouter des fruits frais sur le côté. Servir avec du café ou du jus d'orange."
5,Pizza Margherita,Dej_Diner,"Pâte à pizza 
Tomates fraîches
Mozzarella
Feuilles de basilic
Huile d'olive
Sel et poivre","Préchauffer le four à la température indiquée sur la pâte à pizza.
Étaler la pâte à pizza sur une plaque de cuisson.
Couper les tomates en tranches fines et la mozzarella en morceaux.
Disposer les tranches de tomates sur la pâte à pizza. Répartir les morceaux de mozzarella par-dessus.
Ajouter les feuilles de basilic sur la pizza.
Arroser d'un filet d'huile d'olive et assaisonner avec du sel et du poivre.
Cuire la pizza au four selon les instructions de la pâte à pizza, jusqu'à ce que la croûte soit dorée et le fromage fondu.
Retirer du four et laisser reposer quelques minutes avant de découper et de servir."
6,Gateau au chocolat,Dessert,"Chocolat noir
Beurre
Sucre
Œufs
Farine
Levure chimique
Sel
Sucre glace (pour saupoudrer)
Glace à la vanille (en accompagnement)","Préchauffer le four à la température indiquée sur la recette du gâteau au chocolat.
Faire fondre le chocolat noir et le beurre au bain-marie ou au micro-ondes. Bien mélanger jusqu'à obtenir une consistance lisse.
Dans un autre bol, fouetter les œufs et le sucre jusqu'à ce que le mélange soit léger et mousseux.
Ajouter le mélange de chocolat fondu dans le bol avec les œufs et le sucre. Bien mélanger.
Incorporer la farine, la levure chimique et une pincée de sel dans le mélange de chocolat. Mélanger jusqu'à obtention d'une pâte homogène.
Verser la pâte dans un moule à gâteau préalablement beurré.
Cuire au four pendant le temps indiqué dans la recette jusqu'à ce qu'un cure-dent inséré au centre du gâteau en ressorte propre.
Retirer du four et laisser refroidir avant de démouler.
Saupoudrer de sucre glace avant de servir. Accompagner de boules de glace à la vanille si désiré."
7,Omelette,Petit_Dej,"3 œufs
2 cuillères à café
Ciboulettes","Cassez les œufs dans un bol. Assaisonnez avec du sel et du poivre. Fouetter avec une fourchette pendant 2 minutes ou jusqu'à consistance lisse, sans aucune trace de blanc d'œuf.

Dans une poêle antiadhésive de 8 pouces (20 cm), à feu moyen-doux, faire fondre le beurre sans le laisser dorer.

Versez les œufs dans la poêle en fouettant constamment avec une spatule jusqu'à ce que le mélange commence à prendre, environ 1 minute.

Une fois que les œufs sont presque secs mais encore crémeux, réduisez le feu. Inclinez la poêle pour faire glisser les œufs d'un côté. A l'aide d'une spatule, roulez l'omelette en bûche. Inclinez à nouveau la poêle et roulez l'omelette sur une assiette. Le centre de l'omelette doit être encore coulant. À l'aide d'un pinceau à pâtisserie, recouvrir l'omelette de beurre et saupoudrer de ciboulette, si désiré."
8,Riz frit,Dej_Diner,"2 œufs légèrement battus (facultatif)
1 cuillère à soupe (15 ml) d'huile de sésame grillé (facultatif)
1 poivron rouge épépiné et coupé en dés
1 tasse (100 g) de pois mange-tout, chacun coupé en trois morceaux
4 oignons verts, tranchés finement (parties blanche et verte séparées)
2 cuillères à soupe (30 ml) d'huile d'arachide ou d'huile de canola
2 gousses d'ail, hachées finement
1/2 cuillère à café (2,5 ml) de sambal oelek, ou au goût
1 1/2 tasse (300 g) de riz blanc à grains longs, cuit (environ 1,25 litre / 5 tasses de riz cuit)
2 tasses (340 g) de poulet cuit, coupé en dés
3 c. à table (45 ml) de sauce soja, ou au goût","Dans un wok à feu vif, faites revenir les œufs dans l'huile de sésame en remuant vigoureusement pendant environ 30 secondes, jusqu'à ce qu'ils soient cuits. Réserver dans une assiette. (Cette étape est facultative).

Dans le même wok, faire revenir le poivron, les pois mange-tout et la partie blanche des oignons dans l'huile d'arachide jusqu'à ce qu'ils soient tendres. Ajouter l'ail et le sambal oelek et cuire 1 minute. Ajouter le riz, le poulet, les œufs cuits et la sauce soja. Faites chauffer à feu vif en remuant et rectifiez l'assaisonnement. Saupoudrer de la partie verte des oignons verts."
9,Salade César,Dej_Diner,"Croûtons
- 2 tasses (100 g) de pain blanc d'un jour, sans croûtes, coupé en dés
- 1/4 tasse (55 g) de beurre

Câpres
- 2 cuillères à soupe de câpres, égouttées et épongées
- 1 cuillère à soupe (15 ml) d'huile d'olive

Pansement
- 2 jaunes d'œufs
- 2 cuillères à soupe (30 ml) de jus de citron
- 1 cuillère à café de filets d'anchois hachés
- 1 pincée d'ail, finement hachée
- ¼ tasse (60 ml) d'huile végétale
- ¼ tasse (60 ml) d'huile d'olive

Salade
- 8 tasses (360 g) de cœurs de laitue romaine, déchirés
- 1/3 tasse (25 g) de parmesan frais, râpé
- ¼ tasse (30 g) de copeaux de parmesan frais
- 8 tranches de bacon cuit, hachées","Croûtons

Avec la grille en position médiane, préchauffer le four à 325°F (165°C).
Dans une poêle allant au four, à feu moyen, faire dorer le pain dans le beurre. Assaisonnez avec du sel. Transférer au four et cuire au four pendant 6 minutes ou jusqu'à ce que les croûtons soient croustillants.

Câpres

Pendant ce temps, dans une petite poêle à feu moyen-vif, faire revenir les câpres dans l'huile pendant 5 minutes ou jusqu'à ce qu'elles s'ouvrent et soient croustillantes. Égoutter sur une assiette recouverte de papier absorbant. Sur un plan de travail, hachez finement la moitié des câpres et réservez l'autre moitié.

Pansement

Dans un bol, fouettez les jaunes d'œufs avec le jus de citron, les anchois, l'ail et les câpres hachées. Versez lentement l’huile en fouettant constamment jusqu’à ce que le mélange atteigne une consistance semblable à celle d’une mayonnaise. Assaisonnez avec du sel et du poivre.

Salade

Dans un grand bol, mélanger la laitue, le fromage râpé, les trois quarts des copeaux de fromage, les trois quarts du bacon et les trois quarts des croûtons. Ajouter la vinaigrette et bien mélanger. Répartissez la salade dans quatre assiettes. Saupoudrer du reste des copeaux de fromage, du bacon, des croûtons et des câpres frites"
10,Pain au beurre d'ail,Petit_Dej,"1/2 tasse (125 ml) de beurre ramolli
3 cuillères à soupe (45 ml) de persil haché
3 cuillères à soupe (45 ml) de ciboulette fraîche hachée
2 gousses d'ail, hachées finement
1 baguette française","Avec la grille en position médiane, préchauffer le four à 200 °C (400 °F). Tapisser une plaque à pâtisserie de papier d'aluminium.

Dans un bol, mélanger le beurre, les herbes et l'ail. Mettre de côté.

Trancher la baguette sans couper le fond à intervalles de 2,5 cm. Étaler le beurre à l'ail et aux herbes dans chaque incision. Faire griller au four pendant environ 15 minutes."
